vector_store_file_id,file_id,filename,status,size,size_bytes,created_at,created_timestamp
file-731MKL3VGU1cPkWd7tXnq3,file-731MKL3VGU1cPkWd7tXnq3,article_46661663689497.txt,completed,1.36 KB,1391,2025-10-30 17:16:59,1761808619
file-6dkZ4Bu6TxHkNP6ZDCb5nU,file-6dkZ4Bu6TxHkNP6ZDCb5nU,article_4406172026649.txt,completed,1.75 KB,1789,2025-10-30 17:15:41,1761808541
file-26xLyeUo2qGohgjMUSt7Q8,file-26xLyeUo2qGohgjMUSt7Q8,article_4407763585561.txt,completed,1.68 KB,1725,2025-10-30 16:48:32,1761806912
file-V9ge4mP6BuAoNPHw2JD5Lp,file-V9ge4mP6BuAoNPHw2JD5Lp,article_10457427517337.txt,completed,1.60 KB,1634,2025-10-30 16:31:47,1761805907
file-2AEG7ryefvpMgANBz6LggJ,file-2AEG7ryefvpMgANBz6LggJ,article_35955036815897.txt,completed,2.08 KB,2134,2025-10-30 16:23:15,1761805395
file-8xGVYJpwErgtxcLU3Qvyqx,file-8xGVYJpwErgtxcLU3Qvyqx,article_4409573162265.txt,completed,1.58 KB,1616,2025-10-30 14:51:10,1761799870
file-7bbgQGqTgqSasuorBsAiSV,file-7bbgQGqTgqSasuorBsAiSV,article_51946185107353.txt,completed,3.33 KB,3415,2025-10-30 12:14:19,1761790459
file-VJBUUG3SS19Hfcd7dZ4mq3,file-VJBUUG3SS19Hfcd7dZ4mq3,article_51887470894105.txt,completed,5.46 KB,5587,2025-10-30 08:28:19,1761776899
file-MCukmGWWi8KxWgvXwJVQ5K,file-MCukmGWWi8KxWgvXwJVQ5K,article_33310186092313.txt,completed,3.28 KB,3360,2025-10-29 14:44:54,1761713094
file-FoojBpTg3gKknyFJkxeVfr,file-FoojBpTg3gKknyFJkxeVfr,article_49533482352409.txt,completed,327 B,327,2025-10-29 13:42:33,1761709353
file-ARfYHi99CcHBWRkP8fo4iS,file-ARfYHi99CcHBWRkP8fo4iS,article_360049703912.txt,completed,4.26 KB,4366,2025-10-28 14:26:44,1761625604
file-V2CvZZAZE1XdaQKz5kaWAj,file-V2CvZZAZE1XdaQKz5kaWAj,article_360043215632.txt,completed,10.21 KB,10453,2025-10-28 14:24:32,1761625472
file-CMxmL3YhpHRGj9Bx9tTPRM,file-CMxmL3YhpHRGj9Bx9tTPRM,article_360024051432.txt,completed,99.11 KB,101487,2025-10-28 13:15:41,1761621341
file-5c7zdSjjLbYehVnGRewiGJ,file-5c7zdSjjLbYehVnGRewiGJ,article_18925916046873.txt,completed,8.55 KB,8751,2025-10-28 11:12:58,1761613978
file-8TukCisMFg83jimKdZsUEJ,file-8TukCisMFg83jimKdZsUEJ,article_360027859891.txt,completed,10.84 KB,11105,2025-10-28 09:31:21,1761607881
file-ESgF8murmxA7G1UnPLFSgy,file-ESgF8murmxA7G1UnPLFSgy,article_360058026792.txt,completed,7.98 KB,8172,2025-10-28 09:29:55,1761607795
file-2KNrUBuFNbM632oHae48DZ,file-2KNrUBuFNbM632oHae48DZ,article_4405630360217.txt,completed,21.05 KB,21560,2025-10-27 16:56:27,1761548187
file-9h99wvCZMJhzeVrDbgpEev,file-9h99wvCZMJhzeVrDbgpEev,article_5031769605401.txt,completed,14.17 KB,14510,2025-10-27 16:17:43,1761545863
file-Nw4GzAAhdUf5fz8LHtRQ6t,file-Nw4GzAAhdUf5fz8LHtRQ6t,article_50566296453785.txt,completed,7.52 KB,7698,2025-10-27 16:11:46,1761545506
file-1JtEucWCLcfZAdYKuTQuCD,file-1JtEucWCLcfZAdYKuTQuCD,article_360018425871.txt,completed,21.25 KB,21763,2025-10-27 15:35:56,1761543356
file-GL7di6NAvcGgHCsvsjNejw,file-GL7di6NAvcGgHCsvsjNejw,article_13525424144153.txt,completed,1.90 KB,1942,2025-10-27 13:30:39,1761535839
file-82R2HWGcZ9McxGp711fLmb,file-82R2HWGcZ9McxGp711fLmb,article_4411426816281.txt,completed,12.45 KB,12749,2025-10-27 13:16:27,1761534987
file-4Cw1wd2VnmAPKQMAtKn4kT,file-4Cw1wd2VnmAPKQMAtKn4kT,article_31214276477721.txt,completed,12.62 KB,12928,2025-10-27 13:07:58,1761534478
file-YLEW1XRMJuhv73qoc7phtp,file-YLEW1XRMJuhv73qoc7phtp,article_51813481862681.txt,completed,26.51 KB,27150,2025-10-27 11:43:32,1761529412
file-1hPD9Nf1ZrwN3KYULBfrhv,file-1hPD9Nf1ZrwN3KYULBfrhv,article_48337970425625.txt,completed,344 B,344,2025-10-27 09:05:16,1761519916
file-UYSQEowNmkJwpKmsofPMT8,file-UYSQEowNmkJwpKmsofPMT8,article_360025042731.txt,completed,7.80 KB,7984,2025-10-27 06:55:27,1761512127
file-9jkxs8oBMuNq8aa36FfomX,file-9jkxs8oBMuNq8aa36FfomX,article_360031188751.txt,completed,3.79 KB,3876,2025-10-27 06:39:46,1761511186
file-Fw6rMXQUcRVwjCmsH8cSiP,file-Fw6rMXQUcRVwjCmsH8cSiP,article_22088167867161.txt,completed,10.49 KB,10744,2025-10-24 12:44:01,1761273841
file-EBumW63pyXxi1BwkKG2ua4,file-EBumW63pyXxi1BwkKG2ua4,article_14133160853529.txt,completed,11.21 KB,11476,2025-10-24 12:31:29,1761273089
file-WNdYJz1VQu7dB3D1t58xsn,file-WNdYJz1VQu7dB3D1t58xsn,article_16012058728985.txt,completed,12.10 KB,12386,2025-10-24 12:30:43,1761273043
file-VrM2i53u4UpTMd9CSifmJJ,file-VrM2i53u4UpTMd9CSifmJJ,article_13557009404697.txt,completed,1.70 KB,1737,2025-10-24 12:27:54,1761272874
file-PaGkjfR5rx43nK8uLwVx4W,file-PaGkjfR5rx43nK8uLwVx4W,article_16016240985753.txt,completed,9.55 KB,9784,2025-10-24 11:59:34,1761271174
file-HrKMr2F3raykrXJxTr9ZPe,file-HrKMr2F3raykrXJxTr9ZPe,article_50424308246169.txt,completed,8.24 KB,8439,2025-10-24 11:59:02,1761271142
file-Y9UZgTjGhUoEBCeszNMeU6,file-Y9UZgTjGhUoEBCeszNMeU6,article_51097364164633.txt,completed,294 B,294,2025-10-24 11:40:38,1761270038
file-52m8w1mwuv9ALGGDCKcJ2Q,file-52m8w1mwuv9ALGGDCKcJ2Q,article_23161935552025.txt,completed,8.39 KB,8587,2025-10-24 11:32:04,1761269524
file-Bmj39wLeEKHE32W7G8pmRD,file-Bmj39wLeEKHE32W7G8pmRD,article_50692721668121.txt,completed,5.70 KB,5835,2025-10-24 10:44:17,1761266657
file-KF95BPcp9NV2LBNev58GEe,file-KF95BPcp9NV2LBNev58GEe,article_50726184414617.txt,completed,11.60 KB,11876,2025-10-24 10:42:28,1761266548
file-FSuhagYhQhcT7sqsHhGshH,file-FSuhagYhQhcT7sqsHhGshH,article_7462463562905.txt,completed,7.63 KB,7810,2025-10-24 07:15:29,1761254129
file-L2SQwGCXygtftUjRVJ2ZAZ,file-L2SQwGCXygtftUjRVJ2ZAZ,article_51203178646041.txt,completed,15.44 KB,15814,2025-10-23 18:42:10,1761208930
file-Hj1CNAy6p8DZJY4DtCr1EC,file-Hj1CNAy6p8DZJY4DtCr1EC,article_50727257881881.txt,completed,7.86 KB,8052,2025-10-23 18:05:08,1761206708
file-Ui8SXidq6qZJ2ttUwWfpx7,file-Ui8SXidq6qZJ2ttUwWfpx7,article_49689661491737.txt,completed,5.88 KB,6019,2025-10-23 18:03:33,1761206613
file-4NUmHxY7ippc92zTPRfBVV,file-4NUmHxY7ippc92zTPRfBVV,article_27596576922521.txt,completed,16.50 KB,16899,2025-10-23 18:00:52,1761206452
